Nombre;Categoria;Vencimiento;Stock;Precio;Código
Pack 6 un. Galletas chocolate 36 g c/u;desayuno y dulces;2022-07-16;50;499;308165109415
Chocolate con avellanas 100 g;desayuno y dulces;2022-07-16;50;399;244494263975
Bizcocho Chocman 33 g;desayuno y dulces;2022-07-16;50;69;513058244265
Dulce de membrillo 250 g;desayuno y dulces;2022-07-16;50;1936;860284290729
Chocolate de Leche Trencito Aireado Barra 105g;desayuno y dulces;2022-07-16;50;613;333828581034
Chocolate Relleno Capri Trufa 90g;desayuno y dulces;2022-07-16;50;359;802588845740
Dulce de leche 400 g;desayuno y dulces;2022-07-16;50;2157;660228335277
Chocolate relleno menta 120 g;desayuno y dulces;2022-07-16;50;359;995459884718
Galletas Gran Cereal fibra de cacao 135 g;desayuno y dulces;2022-07-16;50;529;180139271848
Café Nescafé Decaf Tarro 170g;desayuno y dulces;2022-07-16;50;1833;240728065712
Cereales line berries 320 g;desayuno y dulces;2022-07-16;50;803;522921346736
Galleta Grill Clásica 140g;desayuno y dulces;2022-07-16;50;409;251498636978
Caramelo frugele duo ambrosoli 215 gr;desayuno y dulces;2022-07-16;50;333;989212190388
Barras de cereal frutilla 120 g;desayuno y dulces;2022-07-16;50;433;812361598645
Chocolate amargo en polvo 150 g;desayuno y dulces;2022-07-16;50;459;486799492788
Galletas Donuts chocolate blanco 100 g;desayuno y dulces;2022-07-16;50;316;422741124788
Chocolate dulce en polvo Gourmet 200 g;desayuno y dulces;2022-07-16;50;283;474479953588
Chancaca 450 g;desayuno y dulces;2022-07-16;50;606;250913851068
Té negro yellow label 20 bolsitas;desayuno y dulces;2022-07-16;50;356;473842140862
Cereal Chocapic 350g;desayuno y dulces;2022-07-16;50;1444;314717169341
Manjar alulosa doypack 400 g;desayuno y dulces;2022-07-16;50;1013;620416714432
Galletas de chocolate 140 g;desayuno y dulces;2022-07-16;50;429;769270949569
Dulce de leche 500 g;desayuno y dulces;2022-07-16;50;533;509687924419
Mantequilla de maní cremosa 510 g;desayuno y dulces;2022-07-16;50;999;382770407108
Galletas Vino 160 g;desayuno y dulces;2022-07-16;50;199;271383733957
Chocolate Bon o Bon Leche 105 g;desayuno y dulces;2022-07-16;50;767;251530929862
Avena instantánea 450 g;desayuno y dulces;2022-07-16;50;459;437627717324
Café grano molido Moka 250 g;desayuno y dulces;2022-07-16;50;963;849731626703
Cereal Cornflakes 500 g;desayuno y dulces;2022-07-16;50;1216;959874877135
Mantequilla de maní original King 350 g;desayuno y dulces;2022-07-16;50;899;476711765714
Chancaca 400 g;desayuno y dulces;2022-07-16;50;733;812968445651
Chocolate con pasas y avellanas 100 g;desayuno y dulces;2022-07-16;50;399;949074478811
Saborizante para Leche Milo 300g;desayuno y dulces;2022-07-16;50;4930;871104120550
Chocolate relleno con Oreo y crema 100 g;desayuno y dulces;2022-07-16;50;1009;446265976552
Endulzante stevia 270 ml;desayuno y dulces;2022-07-16;50;1799;935172187881
Galletas Mckay Agua 205g;desayuno y dulces;2022-07-16;50;326;204029880042
Galletas Dos en Uno chocolate 35 g;desayuno y dulces;2022-07-16;50;63;845100713706
Mermelada mora 0% azúcar 200 g;desayuno y dulces;2022-07-16;50;353;576979773167
Cereal Rock & Choc 500 g;desayuno y dulces;2022-07-16;50;786;270506297072
Té Negro Emblem Tea Ceylon Blend Original 100 bolsas;desayuno y dulces;2022-07-16;50;776;595618588402
Galletas Triton Limón - White 126g;desayuno y dulces;2022-07-16;50;1232;923460560628
Granola miel & almendras 370 g;desayuno y dulces;2022-07-16;50;1302;391117367036
Chocolate Costanuss 120 g;desayuno y dulces;2022-07-16;50;399;286946092797
Gomitas Mogul Ositos 90 g;desayuno y dulces;2022-07-16;50;239;331352966911
Miel de abejas 450 g;desayuno y dulces;2022-07-16;50;2566;940671526656
Galletas Gretel rellenas con frutilla 85 g;desayuno y dulces;2022-07-16;50;319;988416026367
Galletas oblea mini Cua Cua cubierta de chocolate con vainilla 42 g;desayuno y dulces;2022-07-16;50;159;666120529666
Saborizante para Leche Milo 700g;desayuno y dulces;2022-07-16;50;2099;709385971458
Café grano molido 250 g;desayuno y dulces;2022-07-16;50;963;178270627591
Gomitas Eucaliptus 90 g;desayuno y dulces;2022-07-16;50;206;457283004168
Galletas chispas 142.5 g;desayuno y dulces;2022-07-16;50;296;524698101512
Galletas de Soda Vivo 123 g;desayuno y dulces;2022-07-16;50;542;957340239628
Cereal Corn Flakes 480g;desayuno y dulces;2022-07-16;50;1049;472181171983
Chocolate Nestlé Especialidades Bombón 251g;desayuno y dulces;2022-07-16;50;1199;593440212759
Galletas chocolate crema chocolate 126 g;desayuno y dulces;2022-07-16;50;233;474854811417
Leche entera 1 L;lacteos;2022-07-16;50;283;433088685850
Mantequilla con sal 250 g;lacteos;2022-07-16;50;1456;381854861082
Leche en Polvo Nido Entera 1500g;lacteos;2022-07-16;50;4049;959668487964
Leche semidescremada 1 L;lacteos;2022-07-16;50;283;368202106653
Yoghurt batido sabor frutilla 120 g;lacteos;2022-07-16;50;76;230422628126
Leche descremada 1 L;lacteos;2022-07-16;50;283;495520147229
Mantequilla con sal 250 g;lacteos;2022-07-16;50;819;693948892960
Leche entera natural 1 L;lacteos;2022-07-16;50;313;899374327584
Huevos extra grandes blancos bandeja 20 un.;lacteos;2022-07-16;50;1389;376601003809
Huevos grandes blancos 12 un.;lacteos;2022-07-16;50;826;604525274917
Mantequilla con sal 250 g;lacteos;2022-07-16;50;753;285500270374
Jalea frambuesa 100 g;lacteos;2022-07-16;50;81;881618888485
Yoghurt Batido Nestlé Frutilla 115g;lacteos;2022-07-16;50;6106;432085886757
Leche semidescremada 1 L;lacteos;2022-07-16;50;333;459065255721
Yoghurt Batido Nestlé Vainilla 115g;lacteos;2022-07-16;50;71;569175369515
Margarina con sal 500 g;lacteos;2022-07-16;50;663;514582931245
Yoghurt natural no endulzado 120 g;lacteos;2022-07-16;50;118;252007761710
Yoghurt batido light frutilla 125 g;lacteos;2022-07-16;50;91;620037908269
Huevos grandes blancos bandeja 12 un.;lacteos;2022-07-16;50;809;174196246320
Leche semidescremada sabor chocolate 1 L;lacteos;2022-07-16;50;479;995586647857
Yoghurt batido sabor damasco 120 g;lacteos;2022-07-16;50;76;717299828530
Jalea limón 100 g;lacteos;2022-07-16;50;81;861647906612
Yoghurt batido multipack tradicional 12 x 115 g;lacteos;2022-07-16;50;863;532244285237
Jalea guinda 100 g;lacteos;2022-07-16;50;81;648163583797
Yoghurt batido light vainilla 125 g;lacteos;2022-07-16;50;91;873041184568
Huevos grandes blancos Santa Marta 12 unid;lacteos;2022-07-16;50;1466;129103570750
Leche semidescremada sin lactosa Loncoleche 1 L;lacteos;2022-07-16;50;386;186935338816
Leche descremada sin lactosa 1 L;lacteos;2022-07-16;50;363;861401728833
Postre Manjarate 80 g;lacteos;2022-07-16;50;203;958834476865
Leche descremada 1 L;lacteos;2022-07-16;50;333;203898922817
Leche sin lactosa semidescremada 1 L;lacteos;2022-07-16;50;329;472037861184
Mantequilla con sal 125 g;lacteos;2022-07-16;50;423;172132624196
Yoghurt sin azúcar frutilla 120 g;lacteos;2022-07-16;50;101;386973648706
Leche semidescremada natural 1 L;lacteos;2022-07-16;50;313;919176578888
Yoghurt con cereal Zucaritas 140 g;lacteos;2022-07-16;50;205;740030195530
Pack 6 un. Leche semidescremada chocolate 200 ml;lacteos;2022-07-16;50;890;429459867466
Mantequilla Los Alerces 125 g;lacteos;2022-07-16;50;396;629027260236
Yoghurt Batido Nestlé Damasco 115g;lacteos;2022-07-16;50;71;785744234316
Yoghurt batido light frambuesa 125 g;lacteos;2022-07-16;50;91;145337812812
Yoghurt batido natural 155 g;lacteos;2022-07-16;50;123;543921719116
Jalea Nestlé Frambuesa 110g;lacteos;2022-07-16;50;105;101861656399
Yoghurt light sin lactosa sabor chirimoya 125 g;lacteos;2022-07-16;50;105;755169732433
Yoghurt con cereal Choco Krispis 140 g;lacteos;2022-07-16;50;205;328216938321
Yoghurt con mini galletas 140 g;lacteos;2022-07-16;50;205;985908062035
Pack 6 un. Yoghurt batido con bombilla frutilla 115 g;lacteos;2022-07-16;50;696;739840124756
Pack 12 un. Probiótico defensas con bombilla sabor frutilla 80 ml;lacteos;2022-07-16;50;1216;134357313363
Yoghurt batido frutilla 125 g;lacteos;2022-07-16;50;81;256936413012
Jalea Nestlé Piña 110g;lacteos;2022-07-16;50;105;374645966679
Yoghurt batido semidescremado vainilla 120 g;lacteos;2022-07-16;50;69;454398805841
Yoghurt batido multipack berries 12 x 115 g;lacteos;2022-07-16;50;863;536082868057
Yoghurt batido vainilla 125 g;lacteos;2022-07-16;50;81;194363303769
Leche descremada sin lactosa 1 L;lacteos;2022-07-16;50;396;583896893275
Yoghurt batido semidescremado frutilla 120 g;lacteos;2022-07-16;50;69;621303809883
Yoghurt griego natural 110 g;lacteos;2022-07-16;50;116;264813029211
Leche semidescremada chocolate Receta original 1 L;lacteos;2022-07-16;50;479;969823799134
Pack 12 un. Leche entera 1 L;lacteos;2022-07-16;50;3396;566691915611
Leche semidescremada sin lactosa 1 L;lacteos;2022-07-16;50;363;933517371226
Yoghurt proteína frutilla 155 g;lacteos;2022-07-16;50;193;929725925217
Yoghurt batido natural 150 g;lacteos;2022-07-16;50;148;739572942690
Yoghurt sin azúcar vainilla 120 g;lacteos;2022-07-16;50;101;102638995299
Yoghurt batido mora 125 g;lacteos;2022-07-16;50;81;943319639906
Yoghurt batido sabor frambuesa 120 g;lacteos;2022-07-16;50;76;945610893155
Margarina mix pote 500 g;lacteos;2022-07-16;50;1713;408261207905
Yoghurt Batido Nestlé Frambuesa 115g;lacteos;2022-07-16;50;71;161011943273
Postre Chandelle Crema sabor chocolate 130g;lacteos;2022-07-16;50;226;530817386346
Leche semidescremada chocolate 1 L;lacteos;2022-07-16;50;506;379489945451
Flan vainilla con salsa de caramelo 120 g;lacteos;2022-07-16;50;115;849248782190
Yoghurt 1+1 de 155 g;lacteos;2022-07-16;50;156;333522298735
Leche entera sin lactosa 1 L;lacteos;2022-07-16;50;386;769594238834
Sémola con Leche Nestlé Salsa de Caramelo 135g;lacteos;2022-07-16;50;195;514257848179
Yoghurt batido semidescremado chirimoya 120 g;lacteos;2022-07-16;50;69;797430318962
Pack 6 un. Yoghurt batido con bombilla vainilla 155 g;lacteos;2022-07-16;50;696;860518860661
Yoghurt batido frutilla 1 kg;lacteos;2022-07-16;50;529;147041281911
Yoghurt batido sin lactosa vainilla 120 g;lacteos;2022-07-16;50;103;901290682232
Pack 6 un. Leche semidescremada chocolate 200 ml;lacteos;2022-07-16;50;930;667486308217
Pack 6 un. Leche semidescremada frutilla 200 ml;lacteos;2022-07-16;50;890;299608401787
Flan Colun Vainilla 100 g;lacteos;2022-07-16;50;105;120031471484
Huevos grandes color bandeja 12 un.;lacteos;2022-07-16;50;823;669917611901
Margarina 500 g;lacteos;2022-07-16;50;619;868600792959
Yoghurt batido sin lactosa frutilla 125 g;lacteos;2022-07-16;50;105;421005395840
Huevos extra grandes color bandeja 20 un.;lacteos;2022-07-16;50;1486;408415512452
Yoghurt proteína frutilla 140 g;lacteos;2022-07-16;50;183;546829862792
Yoghurt Batido Light Danone Frutilla 115 g;lacteos;2022-07-16;50;93;598231795592
Yoghurt batido vainilla 1 kg;lacteos;2022-07-16;50;529;873611863946
Yoghurt Batido Light Danone Natural con Endulzante 115 g;lacteos;2022-07-16;50;93;498340661138
Yoghurt proteína natural endulzado 140 g;lacteos;2022-07-16;50;183;590484383637
Pack 12 un. Yoghurt batido 125 g;lacteos;2022-07-16;50;956;747533920150
Mantequilla sin sal 250 g;lacteos;2022-07-16;50;833;714662160280
Yoghurt trozos frutos secos y fruta 165 g;lacteos;2022-07-16;50;241;785451992993
Petit suisse Chiquitín Frutilla 45g;lacteos;2022-07-16;50;89;328913536935
Mantequilla con sal 125 g;lacteos;2022-07-16;50;433;883047753641
Yoghurt Protein Plus frutilla-plátano 150 g;lacteos;2022-07-16;50;196;489434351530
Yoghurt proteína natural endulzado 155 g;lacteos;2022-07-16;50;193;718270834601
Leche en polvo entera 900 g;lacteos;2022-07-16;50;1796;962511390640
Jalea Nestlé Guinda 110g;lacteos;2022-07-16;50;105;616996251569
Yoghurt batido light damasco 125 g;lacteos;2022-07-16;50;91;686003406773
Bebida láctea Chamyto multipack frutilla 12 un. 80 ml;lacteos;2022-07-16;50;1309;691031173048
Flan manjar Colun 100 g;lacteos;2022-07-16;50;105;226476386233
Huevos color gallina libre 12 un.;lacteos;2022-07-16;50;1043;741439686587
Sémola con leche y salsa de caramelo 140 g;lacteos;2022-07-16;50;201;879533475771
Postre Chandelle Crema manjar 130g;lacteos;2022-07-16;50;226;194547582911
Mantequilla sin sal 250 g;lacteos;2022-07-16;50;1443;627130525632
Mantequilla 200 g;lacteos;2022-07-16;50;876;427066566594
Yoghurt proteína chirimoya 155 g;lacteos;2022-07-16;50;193;777819293635
Leche descremada natural 1 L;lacteos;2022-07-16;50;313;706184153030
Yoghurt Protein Plus frutilla 150 g;lacteos;2022-07-16;50;196;898486052811
Yoghurt batido light natural endulzado 125 g;lacteos;2022-07-16;50;91;770556766156
Margarina canola pote 400 g;lacteos;2022-07-16;50;663;124414838732
Leche descremada sin lactosa Loncoleche 1 L;lacteos;2022-07-16;50;386;460006778832
Yoghurt sin azúcar durazno 120 g;lacteos;2022-07-16;50;101;236606572497
Pack 12 un. Leche semidescremada 1 L;lacteos;2022-07-16;50;3396;384905938897
Yoghurt batido Colun damasco 125 g;lacteos;2022-07-16;50;81;623095719891
Manteca 200 g;lacteos;2022-07-16;50;446;395769087956
Pack 6 un. Leche chocolate 200 ml;lacteos;2022-07-16;50;698;445703800789
Leche entera sin lactosa 1 L;lacteos;2022-07-16;50;396;971867842522
Pack 12 un. Leche semidescremada sin tapa 1 L;lacteos;2022-07-16;50;3996;922803242971
Flan Colun sabor chocolate 100 g;lacteos;2022-07-16;50;105;650854631386
Leche en polvo entera 1440 g;lacteos;2022-07-16;50;2989;860819580893
Pack 5 un. Yoghurt con cereales 140 g;lacteos;2022-07-16;50;979;395152885722
Pack 12 un. leche descremada 1 L c/u;lacteos;2022-07-16;50;3396;286422468576
Margarina Deline pote 500 g;lacteos;2022-07-16;50;463;104270792674
Leche semidescremada sin lactosa 1 L;lacteos;2022-07-16;50;396;339355551714
Postre Sahne Nuss Mousse de chocolate 100g;lacteos;2022-07-16;50;223;457308465127
Yoghurt griego light papaya Quillayes 110 g;lacteos;2022-07-16;50;135;505617426408
Leche semidescremada frutilla 1 L;lacteos;2022-07-16;50;483;223412922345
Pack 12 un. Leche entera 100% natural 1 L;lacteos;2022-07-16;50;3756;337267435498
Yoghurt con trozos de fruta Danone frutos del Bosque 150 g;lacteos;2022-07-16;50;186;735478015975
Manteca 200 g;lacteos;2022-07-16;50;443;199930374130
Bebida láctea multipack frambuesa 12 un. 80 ml;lacteos;2022-07-16;50;1309;891404937207
Mantequilla con sal 250 g;lacteos;2022-07-16;50;826;809259329530
Yoghurt batido chirimoya 1 kg;lacteos;2022-07-16;50;396;678997641210
Mantequilla con sal de mar 250 g;lacteos;2022-07-16;50;796;783499266044
Postre Nestlé Leche Asada 120g;lacteos;2022-07-16;50;189;396041193468
Mantequilla untable 200 g;lacteos;2022-07-16;50;943;922819348479
Yoghurt semidescremado sin lactosa trozo berries 120 g;lacteos;2022-07-16;50;3773;986802636802
Yoghurt proteína con cereales 150 g;lacteos;2022-07-16;50;199;946445125635
Leche chocolate 1 L;lacteos;2022-07-16;50;426;385508722692
Yoghurt batido frambuesa 125 g;lacteos;2022-07-16;50;81;940031707142
Yoghurt Batido Chamyto Probióticos Frutilla 115g;lacteos;2022-07-16;50;81;826788259847
Huevos medianos blancos bandeja 30 un.;lacteos;2022-07-16;50;1906;564740900870
Jalea Nestlé Naranja 110g;lacteos;2022-07-16;50;105;354743363593
Leche Trencito Chocolate Multipack 6x200ml;lacteos;2022-07-16;50;950;253138298889
Leche semidescremada sin lactosa chocolate 1 L;lacteos;2022-07-16;50;483;140478212107
Leche semidescremada sabor chocolate 200 ml;lacteos;2022-07-16;50;155;862378616843
Leche cultivada light chirimoya 1 L;lacteos;2022-07-16;50;666;990235691019
Leche semidescremada frutilla 1 L;lacteos;2022-07-16;50;506;318049208332
Yoghurt batido frutilla 1 kg;lacteos;2022-07-16;50;396;127888713736
Flan de caramelo Postres de la Abuela 120 g;lacteos;2022-07-16;50;115;190025467920
Pack 6 un. Leche sin lactosa semidescremada chocolate 200 ml;lacteos;2022-07-16;50;890;405507270672
Leche descremada sin lactosa 1 L;lacteos;2022-07-16;50;376;121875597330
Pack 6 un. Leche semidescremada sin lactosa 1 L;lacteos;2022-07-16;50;2178;811777706003
Yoghurt batido frutilla 1 kg;lacteos;2022-07-16;50;489;823297665040
Petit suisse Chiquitín Plátano 45g;lacteos;2022-07-16;50;89;885860902926
Leche en polvo descremada 800 g;lacteos;2022-07-16;50;1796;584319715350
Yoghurt batido Colun damasco 1 kg;lacteos;2022-07-16;50;529;724265781271
Yoghurt proteína maracuyá 155 g;lacteos;2022-07-16;50;193;238708148248
Yoghurt proteína vainilla 155 g;lacteos;2022-07-16;50;193;986934790166
Leche extra proteína 1 L;lacteos;2022-07-16;50;596;766233020439
Yoghurt Batido Colun Frambuesa 1 kg;lacteos;2022-07-16;50;529;797831948316
Leche cultivada light frambuesa 1 L;lacteos;2022-07-16;50;666;902118049823
Mantequilla con sal 250 g;lacteos;2022-07-16;50;826;121877178400
Yoghurt griego light berries Quillayes 110 g;lacteos;2022-07-16;50;135;315258169388
Sémola con leche y salsa de frambuesa 140 g;lacteos;2022-07-16;50;201;348604713010
Jalea frambuesa 110 g;lacteos;2022-07-16;50;111;738355750963
Leche Loncoleche cappucino proteína 1 L;lacteos;2022-07-16;50;596;236589877300
Huevos grandes blancos Cintazul 30 unid;lacteos;2022-07-16;50;2435;921433106484
Yoghurt semidescremado sin lactosa trozo papaya 120 g;lacteos;2022-07-16;50;141;915381291063
Yoghurt Protein Plus vainilla 150 g;lacteos;2022-07-16;50;196;394700367927
Compota Nestlé Manzana 120g;lacteos;2022-07-16;50;135;547740051511
Postre panna cotta salsa de frambuesa 120 g;lacteos;2022-07-16;50;206;392393041980
Yoghurt batido Calan 110 g 12 unid;lacteos;2022-07-16;50;693;862121355328
Leche entera 1 L;lacteos;2022-07-16;50;329;772877813824
Leche en polvo entera 900 g;lacteos;2022-07-16;50;2399;849306429506
Margarina Mix 500 g;lacteos;2022-07-16;50;1023;854687123522
Pack 12 un. Probiótico defensas sabor multifruta 80 ml;lacteos;2022-07-16;50;1349;672166914114
Pack 6 un. Leche descremada sin lactosa 1 L;lacteos;2022-07-16;50;2178;489923053637
Leche semidescremada sabor vainilla 1 L;lacteos;2022-07-16;50;483;982776178760
Yoghurt trozos chocolate y almendras 165 g;lacteos;2022-07-16;50;241;582961416269
Yoghurt + Cereal Nestlé Chocapic 142g;lacteos;2022-07-16;50;188;354298923088
Margarina1 kg;lacteos;2022-07-16;50;976;574392322132
Yoghurt batido light natural 900 g;lacteos;2022-07-16;50;583;648079681621
Yoghurt batido vainilla 1 kg;lacteos;2022-07-16;50;396;423121078359
Yoghurt trozos frutilla 165 g;lacteos;2022-07-16;50;205;590981744728
Margarina Bonella Sabor Mantequilla Pote 500 g;lacteos;2022-07-16;50;859;864924854361
Margarina Sureña 500 g;lacteos;2022-07-16;50;1577;334072326234
Yoghurt griego light frutilla Quillayes 110 g;lacteos;2022-07-16;50;135;955613759579
Leche semidescremada 1 L;lacteos;2022-07-16;50;329;460747982939
Pack 6 un. Leche chocolate receta original 200 ml;lacteos;2022-07-16;50;890;248447404125
Compota Nestlé Pera 120g;lacteos;2022-07-16;50;135;462775117917
Leche descremada 1 L;lacteos;2022-07-16;50;329;263343220831
Flan Nestlé Vainilla 110g;lacteos;2022-07-16;50;109;394526722136
Huevos color gallina libre 20 un.;lacteos;2022-07-16;50;1783;212238116963
Jalea piña 110 g;lacteos;2022-07-16;50;111;527105509477
Leche entera cremosa 1 L;lacteos;2022-07-16;50;299;556898994277
Yoghurt con trozos de fruta papaya 110 g;lacteos;2022-07-16;50;153;862136846439
Leche proteína chocolate 1 L;lacteos;2022-07-16;50;596;448002041961
Pack 6 un. Bebida láctea mora 200 ml;lacteos;2022-07-16;50;978;421072136303
Yoghurt + Cereal Nestlé Chocapic + Zucosos multipack 710g;lacteos;2022-07-16;50;926;683821107315
Huevos Grandes Color Santa Marta 12 unid;lacteos;2022-07-16;50;859;366154033269
Leche en Polvo Svelty Descremada 800g;lacteos;2022-07-16;50;2076;642077050998
Yoghurt batido mora 1 kg;lacteos;2022-07-16;50;529;121080031349
Yoghurt griego trozos frutilla 110 g;lacteos;2022-07-16;50;153;769458505846
Leche cultivada light frutilla 1 L;lacteos;2022-07-16;50;666;613053548665
Postre Chandelle Crema sabor lúcuma 130g;lacteos;2022-07-16;50;226;205581265019
Yoghurt Batido Chamyto Probióticos Vainilla 115g;lacteos;2022-07-16;50;81;350319462525
Postre Manjarate White 80 g;lacteos;2022-07-16;50;203;346807969917
Leche en Polvo Svelty Sin lactosa Descremada 800g;lacteos;2022-07-16;50;2809;259619588224
Yoghurt triple zero ciruela 120 g;lacteos;2022-07-16;50;125;582227200133
Pack 12 un. Leche descremada sin lactosa 1 L;lacteos;2022-07-16;50;3956;236290697350
Pack 6 un. Leche saborizada individual chocolate 200 ml;lacteos;2022-07-16;50;938;178919762056
Yoghurt batido Loncoleche sin lactosa vainilla bolsa 900 g;lacteos;2022-07-16;50;626;766493419659
Postre Manjarate Black 80 g;lacteos;2022-07-16;50;203;275692431505
Pack 6 un. Probióticos mora 90 ml;lacteos;2022-07-16;50;586;435286927506
Yoghurt con trozos de fruta frutilla 150 g;lacteos;2022-07-16;50;186;988165433489
Yoghurt con trozos de fruta durazno 110 g;lacteos;2022-07-16;50;153;492356602005
Petit suisse Chiquitín Frutilla multipack 12x45g;lacteos;2022-07-16;50;1023;678125734044
Pack 12 un. Leche semidescremada 100% natural 1 L;lacteos;2022-07-16;50;3756;132195944610
Leche entera sin lactosa 1 L;lacteos;2022-07-16;50;363;643789867171
Leche en Polvo Nido Forticrece Sin lactosa 840g;lacteos;2022-07-16;50;3533;449199057059
Yoghurt trozos durazno 165 g;lacteos;2022-07-16;50;205;757771905188
Leche cultivada light 0% + fibra chirimoya 1 L;lacteos;2022-07-16;50;606;808693991590
Yoghurt batido light frutilla 1 kg;lacteos;2022-07-16;50;563;812390230182
Pack 12 un. Leche sin lactosa semidescremada 1 L;lacteos;2022-07-16;50;3956;858314090659
Mantequilla untable con sal 350 g;lacteos;2022-07-16;50;1183;114229315751
Pack 6 un. Leche light chocolate 200 ml;lacteos;2022-07-16;50;990;216696965290
Postre del sur chocolate 95 g;lacteos;2022-07-16;50;165;209949231276
Pack 12 un. Leche descremada sin tapa 1 L;lacteos;2022-07-16;50;3996;489626773677
Postre del sur tres leches 95 g;lacteos;2022-07-16;50;165;344409172142
Leche Break sin lactosa cappuccino 1 L;lacteos;2022-07-16;50;643;683491805365
Saborizante para Leche Nestlé cacao endulzado 230g;lacteos;2022-07-16;50;749;476153882807
Leche semidescremada sabor manjar 1 L;lacteos;2022-07-16;50;483;394499082424
Yoghurt light batido Danone arándano 115 g;lacteos;2022-07-16;50;93;804998367417
Yoghurt proteína trozos frutilla 155 g;lacteos;2022-07-16;50;225;861319932090
Yoghurt proteína trozos frambuesa 155 g;lacteos;2022-07-16;50;225;553796208827
Leche semidescremada chocolate 200 ml;lacteos;2022-07-16;50;148;933843839163
Yoghurt light and free vainilla bolsa 900 g;lacteos;2022-07-16;50;583;533629757630
Margarina light 250 g;lacteos;2022-07-16;50;346;147931113663
Pack 12 un. Probiótico defensas sabor frutilla 80 ml;lacteos;2022-07-16;50;1349;577058621631
Leche semidescremada sin lactosa 1 L;lacteos;2022-07-16;50;376;343261833408
Yoghurt batido light vainilla 1 kg;lacteos;2022-07-16;50;563;292455082184
Leche cultivada proteína frutilla 1 L;lacteos;2022-07-16;50;776;932725786827
Leche chocolate 200 ml;lacteos;2022-07-16;50;116;308982065357
Leche en polvo descremada 350 g;lacteos;2022-07-16;50;7497;536733550798
Leche cultivada light 0% + fibra frutilla 1 L;lacteos;2022-07-16;50;606;351139948752
Leche polvo sin lactosa 800 g;lacteos;2022-07-16;50;2633;174779607249
Leche light chocolate 200 ml;lacteos;2022-07-16;50;165;985284872401
Yoghurt Goodnes Sabor Frutilla 140g;lacteos;2022-07-16;50;156;153826412753
Levadura fresca 38 g;lacteos;2022-07-16;50;149;954262522068
Yoghurt batido frutilla 1 kg;lacteos;2022-07-16;50;689;863043070164
Yoghurt triple zero frutos rojos 150 g;lacteos;2022-07-16;50;185;208370534613
Yogurt sin lactosa frutilla 900 g;lacteos;2022-07-16;50;626;773387561176
Pack 6 un. Leche proteína chocolate 200 ml;lacteos;2022-07-16;50;1030;547601557720
Leche polvo descremada 800 g;lacteos;2022-07-16;50;1749;828464490716
Yoghurt proteína mango maracuyá trozos 140 g;lacteos;2022-07-16;50;218;405446117597
Yoghurt batido sin lactosa frutilla 1 kg;lacteos;2022-07-16;50;563;676648224990
Leche receta original chocolate 1 L;lacteos;2022-07-16;50;506;988581316832
Mantequilla de campo 250 g;lacteos;2022-07-16;50;999;734645233890
Levadura fresca 38 g;lacteos;2022-07-16;50;136;180792510690
Petit suisse Chiquitín Damasco 45g;lacteos;2022-07-16;50;89;488823843044
Yoghurt Goodnes Natural endulzado 140g;lacteos;2022-07-16;50;156;272726509797
Yoghurt proteína trozos mango maracuyá 155 g;lacteos;2022-07-16;50;225;212769458406
Pack 6 un. Leche descremada 200 ml;lacteos;2022-07-16;50;858;374844721382
Sémola con leche y salsa de damasco 140 g;lacteos;2022-07-16;50;201;934515173608
Pack 6 un. Leche semidescremada 1 L;lacteos;2022-07-16;50;1978;960981035240
Leche semidescremada Loncoleche sabor chocolate 200 ml;lacteos;2022-07-16;50;161;976927836395
Leche descremada 200 ml;lacteos;2022-07-16;50;143;596655466732
Mantequilla 250 g;lacteos;2022-07-16;50;713;156511693037
Yoghurt vegetal soya trozos mango maracuyá 140 g;lacteos;2022-07-16;50;171;670367140075
Yoghurt batido damasco 1 kg;lacteos;2022-07-16;50;489;969962563824
Margarina Mix con mantequilla 500 g;lacteos;2022-07-16;50;976;385999153392
Leche Cultivada Colun Light con Fibra Chirimoya 180 cc;lacteos;2022-07-16;50;161;597377730803
Postre Chandelle sin lactosa manjar 130 g;lacteos;2022-07-16;50;239;516451207412
Pack 6 un. Bebida láctea frutilla 200 ml;lacteos;2022-07-16;50;978;837735483636
Leche capuccino light sin lactosa 330 cc;lacteos;2022-07-16;50;293;871431473398
Yoghurt con trozos de fruta Danone colchón de frutas papaya 150 g;lacteos;2022-07-16;50;186;853796407544
Pack 6 un. Leche entera;lacteos;2022-07-16;50;1978;159047567608
Leche semidescremada frutilla 200 ml;lacteos;2022-07-16;50;148;300578318587
Yoghurt trozos piña 165 g;lacteos;2022-07-16;50;205;696380590333
Postre del sur manjar 95 g;lacteos;2022-07-16;50;165;225168091394
Leche semidescremada sin lactosa Loncoleche chocolate 200 ml;lacteos;2022-07-16;50;161;374169905410
Huevos grandes color 12 un.;lacteos;2022-07-16;50;6021;971469949188
Leche en Polvo Nido Forticrece Sin lactosa 1440g;lacteos;2022-07-16;50;11149;330326190341
Mantequilla con sal 250 g;lacteos;2022-07-16;50;763;577407117571
Yoghurt trozo triple zero chía frutilla 120 g;lacteos;2022-07-16;50;148;876257020162
Manteca Delicias 1 kg;lacteos;2022-07-16;50;1309;234156845320
Alimento de Avena Nestlé Veggie Probióticos Frutilla 140g;lacteos;2022-07-16;50;206;602015066376
